learner_id,topic_id,question_id,is_correct,occurred_at,difficulty
synthetic-learner-001,indian-constitution,indian-constitution-q-01,0,2026-01-01T10:00:00.000Z,hard
synthetic-learner-001,hindi-grammar,hindi-grammar-q-02,1,2026-01-01T10:01:00.000Z,easy
synthetic-learner-001,photosynthesis,photosynthesis-q-03,0,2026-01-01T10:02:00.000Z,easy
synthetic-learner-001,indian-constitution,indian-constitution-q-04,0,2026-01-01T10:03:00.000Z,hard
synthetic-learner-001,python-programming,python-programming-q-05,0,2026-01-01T10:04:00.000Z,easy
synthetic-learner-001,python-programming,python-programming-q-06,0,2026-01-01T10:05:00.000Z,hard
synthetic-learner-001,hindi-grammar,hindi-grammar-q-07,1,2026-01-01T10:06:00.000Z,medium
synthetic-learner-001,indian-constitution,indian-constitution-q-08,0,2026-01-01T10:07:00.000Z,medium
synthetic-learner-001,photosynthesis,photosynthesis-q-09,0,2026-01-01T10:08:00.000Z,hard
synthetic-learner-001,photosynthesis,photosynthesis-q-10,1,2026-01-01T10:09:00.000Z,hard
synthetic-learner-001,hindi-grammar,hindi-grammar-q-11,1,2026-01-01T10:10:00.000Z,easy
synthetic-learner-001,algebra,algebra-q-12,1,2026-01-01T10:11:00.000Z,hard
synthetic-learner-001,newton-laws,newton-laws-q-01,0,2026-01-01T10:12:00.000Z,medium
synthetic-learner-001,fractions,fractions-q-02,0,2026-01-01T10:13:00.000Z,hard
synthetic-learner-001,fractions,fractions-q-03,1,2026-01-01T10:14:00.000Z,easy
synthetic-learner-001,fractions,fractions-q-04,0,2026-01-01T10:15:00.000Z,hard
synthetic-learner-001,indian-constitution,indian-constitution-q-05,0,2026-01-01T10:16:00.000Z,hard
synthetic-learner-001,hindi-grammar,hindi-grammar-q-06,1,2026-01-01T10:17:00.000Z,hard
synthetic-learner-001,indian-constitution,indian-constitution-q-07,0,2026-01-01T10:18:00.000Z,easy
synthetic-learner-001,newton-laws,newton-laws-q-08,0,2026-01-01T10:19:00.000Z,easy
synthetic-learner-001,newton-laws,newton-laws-q-09,0,2026-01-01T10:20:00.000Z,medium
synthetic-learner-001,hindi-grammar,hindi-grammar-q-10,0,2026-01-01T10:21:00.000Z,hard
synthetic-learner-001,newton-laws,newton-laws-q-11,1,2026-01-01T10:22:00.000Z,medium
synthetic-learner-001,fractions,fractions-q-12,0,2026-01-01T10:23:00.000Z,easy
synthetic-learner-001,photosynthesis,photosynthesis-q-01,1,2026-01-01T10:24:00.000Z,medium
synthetic-learner-001,fractions,fractions-q-02,0,2026-01-01T10:25:00.000Z,easy
synthetic-learner-001,hindi-grammar,hindi-grammar-q-03,1,2026-01-01T10:26:00.000Z,easy
synthetic-learner-001,algebra,algebra-q-04,1,2026-01-01T10:27:00.000Z,hard
synthetic-learner-002,fractions,fractions-q-01,0,2026-01-01T11:00:00.000Z,hard
synthetic-learner-002,financial-accounting,financial-accounting-q-02,1,2026-01-01T11:01:00.000Z,easy
synthetic-learner-002,fractions,fractions-q-03,1,2026-01-01T11:02:00.000Z,easy
synthetic-learner-002,algebra,algebra-q-04,0,2026-01-01T11:03:00.000Z,hard
synthetic-learner-002,newton-laws,newton-laws-q-05,0,2026-01-01T11:04:00.000Z,easy
synthetic-learner-002,financial-accounting,financial-accounting-q-06,1,2026-01-01T11:05:00.000Z,easy
synthetic-learner-002,hindi-grammar,hindi-grammar-q-07,1,2026-01-01T11:06:00.000Z,easy
synthetic-learner-002,indian-constitution,indian-constitution-q-08,1,2026-01-01T11:07:00.000Z,hard
synthetic-learner-002,algebra,algebra-q-09,1,2026-01-01T11:08:00.000Z,easy
synthetic-learner-002,photosynthesis,photosynthesis-q-10,1,2026-01-01T11:09:00.000Z,hard
synthetic-learner-002,hindi-grammar,hindi-grammar-q-11,1,2026-01-01T11:10:00.000Z,easy
synthetic-learner-002,indian-constitution,indian-constitution-q-12,1,2026-01-01T11:11:00.000Z,medium
synthetic-learner-002,algebra,algebra-q-01,1,2026-01-01T11:12:00.000Z,easy
synthetic-learner-002,financial-accounting,financial-accounting-q-02,0,2026-01-01T11:13:00.000Z,hard
synthetic-learner-002,fractions,fractions-q-03,1,2026-01-01T11:14:00.000Z,easy
synthetic-learner-002,fractions,fractions-q-04,1,2026-01-01T11:15:00.000Z,medium
synthetic-learner-002,financial-accounting,financial-accounting-q-05,1,2026-01-01T11:16:00.000Z,easy
synthetic-learner-002,photosynthesis,photosynthesis-q-06,0,2026-01-01T11:17:00.000Z,easy
synthetic-learner-002,newton-laws,newton-laws-q-07,0,2026-01-01T11:18:00.000Z,easy
synthetic-learner-002,python-programming,python-programming-q-08,1,2026-01-01T11:19:00.000Z,easy
synthetic-learner-002,python-programming,python-programming-q-09,0,2026-01-01T11:20:00.000Z,medium
synthetic-learner-002,indian-constitution,indian-constitution-q-10,0,2026-01-01T11:21:00.000Z,hard
synthetic-learner-002,financial-accounting,financial-accounting-q-11,1,2026-01-01T11:22:00.000Z,hard
synthetic-learner-002,newton-laws,newton-laws-q-12,0,2026-01-01T11:23:00.000Z,hard
synthetic-learner-002,newton-laws,newton-laws-q-01,1,2026-01-01T11:24:00.000Z,medium
synthetic-learner-002,python-programming,python-programming-q-02,1,2026-01-01T11:25:00.000Z,medium
synthetic-learner-002,fractions,fractions-q-03,0,2026-01-01T11:26:00.000Z,medium
synthetic-learner-002,financial-accounting,financial-accounting-q-04,1,2026-01-01T11:27:00.000Z,hard
synthetic-learner-003,algebra,algebra-q-01,0,2026-01-01T12:00:00.000Z,hard
synthetic-learner-003,fractions,fractions-q-02,0,2026-01-01T12:01:00.000Z,medium
synthetic-learner-003,python-programming,python-programming-q-03,0,2026-01-01T12:02:00.000Z,easy
synthetic-learner-003,photosynthesis,photosynthesis-q-04,0,2026-01-01T12:03:00.000Z,hard
synthetic-learner-003,algebra,algebra-q-05,0,2026-01-01T12:04:00.000Z,hard
synthetic-learner-003,hindi-grammar,hindi-grammar-q-06,0,2026-01-01T12:05:00.000Z,medium
synthetic-learner-003,newton-laws,newton-laws-q-07,0,2026-01-01T12:06:00.000Z,medium
synthetic-learner-003,newton-laws,newton-laws-q-08,0,2026-01-01T12:07:00.000Z,medium
synthetic-learner-003,fractions,fractions-q-09,0,2026-01-01T12:08:00.000Z,hard
synthetic-learner-003,hindi-grammar,hindi-grammar-q-10,0,2026-01-01T12:09:00.000Z,medium
synthetic-learner-003,algebra,algebra-q-11,0,2026-01-01T12:10:00.000Z,medium
synthetic-learner-003,photosynthesis,photosynthesis-q-12,0,2026-01-01T12:11:00.000Z,easy
synthetic-learner-003,photosynthesis,photosynthesis-q-01,0,2026-01-01T12:12:00.000Z,easy
synthetic-learner-003,fractions,fractions-q-02,1,2026-01-01T12:13:00.000Z,hard
synthetic-learner-003,financial-accounting,financial-accounting-q-03,1,2026-01-01T12:14:00.000Z,hard
synthetic-learner-003,python-programming,python-programming-q-04,1,2026-01-01T12:15:00.000Z,medium
synthetic-learner-003,indian-constitution,indian-constitution-q-05,0,2026-01-01T12:16:00.000Z,easy
synthetic-learner-003,indian-constitution,indian-constitution-q-06,0,2026-01-01T12:17:00.000Z,medium
synthetic-learner-003,python-programming,python-programming-q-07,0,2026-01-01T12:18:00.000Z,medium
synthetic-learner-003,fractions,fractions-q-08,0,2026-01-01T12:19:00.000Z,hard
synthetic-learner-003,indian-constitution,indian-constitution-q-09,0,2026-01-01T12:20:00.000Z,easy
synthetic-learner-003,hindi-grammar,hindi-grammar-q-10,0,2026-01-01T12:21:00.000Z,hard
synthetic-learner-003,financial-accounting,financial-accounting-q-11,0,2026-01-01T12:22:00.000Z,hard
synthetic-learner-003,algebra,algebra-q-12,0,2026-01-01T12:23:00.000Z,medium
synthetic-learner-003,indian-constitution,indian-constitution-q-01,0,2026-01-01T12:24:00.000Z,easy
synthetic-learner-003,python-programming,python-programming-q-02,1,2026-01-01T12:25:00.000Z,easy
