"id","query","suggested_labels","reviewed_labels","decision","reviewer_notes","source"
"synthetic-0001","Create 10 MCQs on fractions","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0002","Create 10 MCQs on quadratic equations","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0003","Create 10 MCQs on trigonometry","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0004","Create 10 MCQs on probability","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0005","Create 10 MCQs on photosynthesis","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0006","Create 10 MCQs on human digestion","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0007","Create 10 MCQs on Newton's laws","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0008","Create 10 MCQs on chemical bonding","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0009","Create 10 MCQs on Indian independence movement","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0010","Create 10 MCQs on Indian Constitution","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0011","Create 10 MCQs on climate change","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0012","Create 10 MCQs on maps and latitude","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0013","Create 10 MCQs on Hindi grammar","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0014","Create 10 MCQs on English essay writing","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0015","Create 10 MCQs on financial accounting","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0016","Create 10 MCQs on marketing fundamentals","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0017","Create 10 MCQs on data structures","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0018","Create 10 MCQs on DBMS normalization","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0019","Create 10 MCQs on computer networks","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0020","Create 10 MCQs on Python programming","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0021","Mujhe fractions par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0022","Mujhe quadratic equations par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0023","Mujhe trigonometry par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0024","Mujhe probability par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0025","Mujhe photosynthesis par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0026","Mujhe human digestion par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0027","Mujhe Newton's laws par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0028","Mujhe chemical bonding par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0029","Mujhe Indian independence movement par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0030","Mujhe Indian Constitution par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0031","Mujhe climate change par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0032","Mujhe maps and latitude par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0033","Mujhe Hindi grammar par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0034","Mujhe English essay writing par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0035","Mujhe financial accounting par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0036","Mujhe marketing fundamentals par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0037","Mujhe data structures par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0038","Mujhe DBMS normalization par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0039","Mujhe computer networks par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0040","Mujhe Python programming par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0041","Make a short quiz from fractions","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0042","Make a short quiz from quadratic equations","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0043","Make a short quiz from trigonometry","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0044","Make a short quiz from probability","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0045","Make a short quiz from photosynthesis","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0046","Make a short quiz from human digestion","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0047","Make a short quiz from Newton's laws","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0048","Make a short quiz from chemical bonding","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0049","Make a short quiz from Indian independence movement","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0050","Make a short quiz from Indian Constitution","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0051","Make a short quiz from climate change","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0052","Make a short quiz from maps and latitude","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0053","Make a short quiz from Hindi grammar","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0054","Make a short quiz from English essay writing","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0055","Make a short quiz from financial accounting","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0056","Make a short quiz from marketing fundamentals","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0057","Make a short quiz from data structures","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0058","Make a short quiz from DBMS normalization","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0059","Make a short quiz from computer networks","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0060","Make a short quiz from Python programming","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0061","fractions ke questions banao","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0062","quadratic equations ke questions banao","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0063","trigonometry ke questions banao","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0064","probability ke questions banao","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0065","photosynthesis ke questions banao","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0066","human digestion ke questions banao","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0067","Newton's laws ke questions banao","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
