"id","query","suggested_labels","reviewed_labels","decision","reviewer_notes","source"
"synthetic-0001","Create 10 MCQs on TCP reliability","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0002","Create 10 MCQs on DBMS normalization","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0003","Create 10 MCQs on process scheduling","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0004","Create 10 MCQs on binary trees","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0005","Create 10 MCQs on IP routing","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0006","Create 10 MCQs on deadlocks","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0007","Create 10 MCQs on cloud computing","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0008","Create 10 MCQs on data structures","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0009","Mujhe TCP reliability par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0010","Mujhe DBMS normalization par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0011","Mujhe process scheduling par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0012","Mujhe binary trees par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0013","Mujhe IP routing par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0014","Mujhe deadlocks par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0015","Mujhe cloud computing par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0016","Mujhe data structures par practice test do","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0017","Make a short quiz from TCP reliability","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0018","Make a short quiz from DBMS normalization","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0019","Make a short quiz from process scheduling","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0020","Make a short quiz from binary trees","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0021","Make a short quiz from IP routing","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
"synthetic-0022","Make a short quiz from deadlocks","assessment","assessment","approved","AI-reviewed template candidate; human review required before production deployment.","synthetic-review-required"
